headline,publisher,date,stock,clean_text,label,confidence,label_adjusted
KMG Chemicals' (KMG) CEO Chris Fraser on Q1 2016 Results - Earnings Call Transcript,Seeking Alpha,12/10/2015 0:00,KMG,kmg chemicals kmg ceo chris fraser results earnings call transcript,negative,0.999978065,negative
"90 Champions, Contenders And Challengers Are Dividend Stars In November Per Wall Street Targets",Seeking Alpha,11/8/2018 0:00,HEP,champions contenders challengers dividend stars november per wall street targets,negative,0.999128044,negative
"Pabrai Funds Portfolio Review: POT, BPO, BIP, CRESY, CSE, ZINC, WFC",GuruFocus,10/21/2011 0:00,BIP,pabrai funds portfolio review pot bpo bip cresy cse zinc wfc,negative,0.99999392,negative
"Auto Stock Roundup: Toyota Stays Top Seller, Ford to Boost German Output - Analyst Blog",Zacks,1/22/2015 0:00,AAP,auto stock roundup toyota stays top seller ford boost german output analyst blog,neutral,0.999996781,neutral
Deutsche Bank raises VMware price target to 17% upside,Seeking Alpha,1/29/2018 0:00,VMW,deutsche bank raises vmware price target upside,neutral,1,neutral
"ITT Educational Up 65% on Q2, Q3 Operational Update - Analyst Blog",Zacks,10/20/2014 0:00,LINC,itt educational operational update analyst blog,neutral,0.999877095,neutral
SM Energy (SM) Q4 Earnings Top Estimates on Higher Output,Zacks,2/20/2020 0:00,SM,energy earnings top estimates higher output,neutral,0.999994755,neutral
Sunoco's 'Acquisition' Of Energy Transfer Partners,Seeking Alpha,11/23/2016 0:00,ETP,sunoco acquisition energy transfer partners,negative,0.999924541,negative
"Hill-Rom Holdings misses by $0.01, beats on revenue",Seeking Alpha,2/3/2015 0:00,HRC,hill rom holdings misses beats revenue,positive,0.999566257,positive
Brookfield Asset Management's (BAM) CEO Bruce Flatt on Q4 2014 Results - Earnings Call Transcript,Seeking Alpha,2/13/2015 0:00,BAM,brookfield asset management bam ceo bruce flatt results earnings call transcript,negative,0.999964714,negative
Strong Open Tumbles to Slight Losses in Volatile Session,Zacks,4/8/2020 0:00,EGAN,strong open tumbles slight losses volatile session,neutral,0.999947429,neutral
Home Improvement Stocks Tumble,Fox Business,4/23/2014 0:00,VMC,home improvement stocks tumble,positive,0.999990225,positive
The Art of the Turnaround - Wilbur Ross Review of Low P/E Stocks,GuruFocus,12/13/2013 0:00,IVZ,art turnaround wilbur ross review low stocks,negative,0.999929309,negative
Notable earnings after Tuesday's close,Seeking Alpha,8/1/2016 0:00,RPAI,notable earnings tuesday close,negative,0.9999336,negative
Will Ligand Pharmaceuticals (LGND) Beat Earnings in Q2? - Analyst Blog,Zacks,8/3/2015 0:00,AGIO,ligand pharmaceuticals lgnd beat earnings analyst blog,neutral,0.999999046,positive
"Twin Disc misses by $0.06, misses on revenue",Seeking Alpha,1/31/2017 0:00,TWIN,twin disc misses misses revenue,positive,0.999999285,positive
"AB Announces September '…, —…–9 Assets Under Management",GuruFocus,10/9/2019 0:00,AB,announces september assets management,negative,0.999251783,negative
Beijing Can't Have It Both Ways On SOE Reform,Seeking Alpha,3/14/2016 0:00,CHN,beijing ways soe reform,negative,0.997081935,negative
"Trust Co Of Oklahoma Buys Fiserv Inc, Becton, Dickinson and Co, Vanguard Health Care, Sells ...",GuruFocus,4/20/2018 0:00,VHT,trust oklahoma buys fiserv inc becton dickinson vanguard health care sells,negative,0.999997497,negative
"FPA Capital Fund, Inc. Q1 2018 Commentary",Seeking Alpha,5/1/2018 0:00,CFFN,fpa capital fund inc commentary,negative,0.999959588,negative
"Essendant: An Over-Leveraged, Melting Ice Cube Valued Off False Hope",Seeking Alpha,8/8/2018 0:00,GPC,essendant leveraged melting ice cube valued false hope,positive,0.644706309,positive
AES Is Close to Resistance,Traders Huddle,12/17/2012 0:00,AES,aes close resistance,negative,0.71687603,negative
Stocks Showing Rising Market Leadership: Tenet Healthcare Earns 83 RS Rating,Investor's Business Daily,2/6/2018 0:00,THC,stocks showing rising market leadership tenet healthcare earns rating,neutral,1,neutral
Historic Vote For Brexit Future (Wall Street Breakfast Podcast),Seeking Alpha,1/15/2019 0:00,FDX,historic vote brexit future wall street breakfast podcast,negative,0.999763906,negative
Retail On Display (Stocks To Watch Podcast),Seeking Alpha,5/19/2019 0:00,REGN,retail display stocks watch podcast,negative,0.999996185,negative
"Stock Market News for May 29, 2013 - Market News",Zacks,5/29/2013 0:00,TE,stock market news may market news,negative,0.999997497,negative
OmniVision reports FQ3 earnings on February 26,Seeking Alpha,1/30/2015 0:00,OVTI,omnivision reports earnings february,negative,0.999977827,negative
"Analysts' Actions: AKS, BTU, CCL, CTXS",TheStreet.Com,9/24/2012 0:00,BTU,analysts actions aks btu ccl ctxs,negative,0.99992919,negative
Term CEF Ladder #2: Mortgage Closed-End Funds Explored,Seeking Alpha,4/17/2018 0:00,JPI,term cef ladder mortgage closed end funds explored,negative,0.999995232,negative
10 Best Luxury Watches for 2012,TheStreet.Com,11/27/2012 0:00,MOV,best luxury watches,neutral,0.996292651,neutral
US Market Mostly Lower Thursday,GuruFocus,11/14/2019 0:00,MOS,market mostly lower thursday,positive,0.669743478,positive
"Aixtron Is A Volatile Way To Play LED Growth (AIXG, VECO, CREE, PHG)",Investopedia,2/16/2013 0:00,PHG,aixtron volatile way play led growth aixg veco cree phg,positive,0.667929053,positive
FDA clears Hospira pain med,Seeking Alpha,12/30/2014 0:00,HSP,fda clears hospira pain med,negative,0.971268296,negative
Swapping An Outlier For A High-Flyer,Seeking Alpha,4/25/2016 0:00,DDR,swapping outlier high flyer,negative,0.960889339,negative
John Rogers Comments on Rentech Inc.,GuruFocus,11/20/2015 0:00,RTK,john rogers comments rentech inc,negative,0.999406219,negative
Office Depot partners with Silverback Learning Solutions,Seeking Alpha,3/20/2017 0:00,ODP,office depot partners silverback learning solutions,negative,0.999951005,negative
"Finish Line Moving Forward (FINL, FL, NKE, DKS)",Investopedia,4/9/2012 0:00,FINL,finish line moving forward finl nke dks,negative,0.999997497,negative
Will Vipshop Holdings (VIPS) Earnings Surprise this Season? - Analyst Blog,Zacks,5/12/2015 0:00,BITA,vipshop holdings vips earnings surprise season analyst blog,negative,0.850820422,negative
Why China's Currency Will Bounce Back,Seeking Alpha,9/21/2018 0:00,CYB,china currency bounce back,positive,0.997233331,positive
Tech Data (TECD) Earnings Expected to Grow: Should You Buy?,Zacks,2/27/2020 0:00,TECD,tech data tecd earnings expected grow buy,neutral,0.999998808,neutral
5 Stocks Set to Soar on Bullish Earnings,webmaster,1/14/2013 0:00,OZRK,stocks set soar bullish earnings,neutral,0.999610484,neutral
Tractor Supply Hits High After Guidance Boost,TheStreet.Com,4/12/2012 0:00,TSCO,tractor supply hits high guidance boost,neutral,0.955803573,neutral
"Toroso Investments, LLC Buys iShares Core S&P Total U.S. ...",GuruFocus,5/8/2020 0:00,VALE,toroso investments llc buys ishares core total,negative,0.999995947,negative
Indian Economy Surges But Questions Remain About The Rise's Longevity,Seeking Alpha,7/27/2018 0:00,INDL,indian economy surges questions remain rise longevity,positive,0.613050222,positive
IAC/InterActiveCorp's Tinder Offers Super Like Swipe Globally,Zacks,10/2/2015 0:00,STMP,iac interactivecorp tinder offers super like swipe globally,negative,0.999977827,negative
Southern Copper: A Copper Major With An Ambitious Growth Plan,Seeking Alpha,4/24/2019 0:00,SCCO,southern copper copper major ambitious growth plan,neutral,0.999951482,neutral
IBD Rating Upgrades: MSC Industrial Direct Flashes Improved Price Strength,Investor's Business Daily,1/23/2019 0:00,MSM,ibd rating upgrades msc industrial direct flashes improved price strength,neutral,1,neutral
Natural Gas Daily - Torch Pattern Forecast For East Coast Pushes Gas To $3,Seeking Alpha,1/9/2017 0:00,DGAZ,natural gas daily torch pattern forecast east coast pushes gas,negative,0.863982499,negative
Falling Earnings Estimates Signal Weakness Ahead for Fortuna Silver (FSM),Zacks,9/2/2015 0:00,FSM,falling earnings estimates signal weakness ahead fortuna silver fsm,positive,0.999999642,positive
ECB's Stimulus Package May Not Revive Financial Markets,Seeking Alpha,3/21/2016 0:00,VGK,ecb stimulus package may revive financial markets,positive,0.999973059,positive
"Bank of the Ozarks, First Republic, Home Bancshares rated new 'buy' at Citi",Seeking Alpha,6/18/2018 0:00,HOMB,bank ozarks first republic home bancshares rated new buy citi,neutral,0.999934793,neutral
Avery Dennison Poised for Long-Term Growth; Risks Remain - Analyst Blog,Zacks,3/23/2015 0:00,PESI,avery dennison poised long term growth risks remain analyst blog,neutral,0.999999523,neutral
"Data, Debt Help Market Research Stocks Chart Higher Path In Business Defined By Milliseconds",Investor's Business Daily,3/5/2020 0:00,MORN,data debt help market research stocks chart higher path business defined milliseconds,negative,0.999928236,negative
DG vs. TJX: Which Stock Should Value Investors Buy Now?,Zacks,4/29/2020 0:00,TJX,tjx stock value investors buy,neutral,0.898571312,neutral
Parker-Hannifin Misses Q4 Earnings on Currency Headwinds - Analyst Blog,Zacks,8/4/2015 0:00,GGG,parker hannifin misses earnings currency headwinds analyst blog,positive,0.999999404,positive
Masco (MAS) Beats Q2 Earnings Estimates,Zacks,7/25/2019 0:00,MAS,masco mas beats earnings estimates,neutral,1,positive
"E&P Borrowing Base Scorecard: 4th (Quarter) And Long, And The Banks Punt Deep Into 2016... Or Did They?",Seeking Alpha,12/14/2015 0:00,EPE,borrowing base scorecard quarter long banks punt deep,negative,0.999766171,negative
"New Ratings: ADT, AMBA, ANFI, CHTR, SSTK, WDAY",Traders Huddle,11/5/2012 0:00,WDAY,new ratings adt amba anfi chtr sstk wday,negative,0.999993086,negative
"Calgon Carbon Up on Strong View, Q1 Earnings Flat - Analyst Blog",Zacks,5/13/2014 0:00,FTEK,calgon carbon strong view earnings flat analyst blog,neutral,0.999999046,positive
"ADT Beats on Q4 Earnings, Offers Initial 2015 Guidance - Analyst Blog",Zacks,11/12/2014 0:00,ADT,adt beats earnings offers initial guidance analyst blog,neutral,0.999999285,positive
